sta_code        sku_code        Length(CM)      Width(CM)       Height(CM)      Qty     volume
BSIN2309139588  DJ7929-001      34.2    21.5    12.2    1       8970.66
ODO1694010843541815     DJ7929-001      34.2    21.5    12.2    1       8970.66
ODO1694237050303563     DJ7929-001      34.2    21.5    12.2    1       8970.66
ODO1694141329622131     DC5216-301      33.8    22.8    11.6    1       8939.42
ODO1694210537632983     DD8475-003      33.7    22      12      1       8896.8
TBNK2309308950  DV4356-100      34      21.8    12      1       8894.4
TBBN2309060830  DV4356-100      34      21.8    12      1       8894.4
BSIN2309131659  DV4356-100      34      21.8    12      1       8894.4
TBNK2309330110  FN8888-131      33.9    21.8    12      3       26604.7
BSIN2309017417  553558-515      32.4    22.8    12      1       8864.64
ODO1694296926928884     DR6957-100      32.4    22.8    12      1       8864.64
ODO1694004169876406     DZ3322-001      32.4    22.8    12      1       8864.64
ODO1694011552185589     DX4397-200      32.4    22.8    12      1       8864.64
ODO1693993684761891     FQ1304-100      32.4    22.8    12      1       8864.64
TBBJ2309017848  DV1308-104      32.4    22.8    12      2       17729.3
TBNK2309088644  DV1308-104      32.4    22.8    12      1       8864.64
ODO1694011552185589     DX4397-200      32.4    22.8    12      1       8864.64
ODO1694011552185589     DX4397-200      32.4    22.8    12      1       8864.64
ODO1693998246475271     DX4397-200      32.4    22.8    12      1       8864.64
BSIN2309133848  DM0858-367      32.4    22.8    12      1       8864.64
ODO169401443081768      DX4399-103      32.4    22.8    12      1       8864.64
BSIN2309054839  DZ3322-001      32.4    22.8    12      1       8864.64
ODO1693982644772415     DX4397-200      32.4    22.8    12      1       8864.64
ODO1694070247059149     553558-481      32.4    22.8    12      1       8864.64
ODO1694018571566171     DX4397-200      32.4    22.8    12      1       8864.64
ODO1694018571566171     DX4397-200      32.4    22.8    12      1       8864.64
ODO169407671234137      FN8901-164      32.4    22.8    12      1       8864.64
ODO1694018571566171     DX4397-200      32.4    22.8    12      1       8864.64
ODO1693976765109804     FB2219-087      32.4    22.8    12      1       8864.64
